316.00,0.22
317.00,0.59
318.00,0.95
319.00,1.30
320.00,1.64
321.00,1.96
322.00,2.28
323.00,2.58
324.00,2.87
325.00,3.16
326.00,3.43
327.00,3.69
328.00,3.95
329.00,4.19
330.00,4.42
331.00,4.65
332.00,4.87
333.00,5.08
334.00,5.28
335.00,5.47
336.00,5.65
337.00,5.82
338.00,5.99
339.00,6.15
340.00,6.30
341.00,6.44
342.00,6.58
343.00,6.70
344.00,6.82
345.00,6.94
346.00,7.04
347.00,7.14
348.00,7.23
349.00,7.31
350.00,7.38
351.00,7.45
352.00,7.51
353.00,7.56
354.00,7.61
355.00,7.65
356.00,7.68
357.00,7.71
358.00,7.72
359.00,7.73
